Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
3840	0.004875932	0.0	0.004875932	0.004875932	1.0	0.021196619	0.07743949	0.18187457	-0.2003514	0.012141397	0.106331	0.199471	-0.30068886	-1.3099408	0.33771867	-0.37064648	-3.9486403	-0.281318	0.05589415	5296.169532775879
3840	-0.038896047	0.0	-0.038896047	-0.038896047	1.0	0.019656498	0.07050315	0.14349642	-0.17467454	0.019035485	0.09487525	0.1931528	-0.28051066	-1.3404169	0.2920268	-0.71177864	-2.952495	-0.27910697	0.060652092	5296.836616277695
3840	-0.2630014	0.0	-0.2630014	-0.2630014	1.0	0.018380342	0.07972494	0.17726797	-0.18825585	0.018602382	0.10111574	0.1687819	-0.29318634	-1.3022206	0.2738957	-0.6766269	-2.909634	-0.2722011	0.058572717	5297.505860090256
3840	0.20491423	0.0	0.20491423	0.20491423	1.0	0.01627786	0.08110759	0.15481555	-0.19792454	0.017331198	0.107903585	0.18716413	-0.26813805	-1.3563392	0.33189026	-0.35399246	-2.8264382	-0.27893674	0.06288819	5298.149104356766
3840	0.13108198	0.0	0.13108198	0.13108198	1.0	0.0063200225	0.0785301	0.15356605	-0.19005375	0.003764796	0.10344981	0.18155473	-0.2704311	-1.3423115	0.37433547	-0.52506256	-3.5248451	-0.27263194	0.049999874	5298.81712436676
3840	0.3206925	0.0	0.3206925	0.3206925	1.0	-0.0005082701	0.08046584	0.16034122	-0.21792938	0.0055593504	0.107624255	0.18141182	-0.25945455	-1.3073809	0.29952264	-0.63849187	-3.3649788	-0.27885577	0.058271993	5299.479109048843
3840	-0.15141894	0.0	-0.15141894	-0.15141894	1.0	0.002339945	0.08428594	0.17148827	-0.20674478	0.0049879253	0.11124081	0.17984307	-0.26798713	-1.3423069	0.27814224	-0.74851537	-2.3412628	-0.26673844	0.056522973	5300.151083707809
3840	-0.37416348	0.0	-0.37416348	-0.37416348	1.0	0.023478849	0.07224201	0.17206785	-0.19939962	0.030902753	0.091437295	0.18231687	-0.30036047	-1.3205583	0.27495182	-0.6592977	-2.3606944	-0.27072552	0.07197408	5300.841869831085
3840	0.13090481	0.0	0.13090481	0.13090481	1.0	0.0065960335	0.069111966	0.15359978	-0.18314318	0.016158063	0.09383596	0.18814622	-0.23018657	-1.3393418	0.2587142	-0.5831201	-2.3315504	-0.26879773	0.053579174	5301.49907708168
3840	0.016467154	0.0	0.016467154	0.016467154	1.0	0.015271615	0.07027239	0.14582105	-0.18770598	0.01635141	0.09414325	0.1643802	-0.30713516	-1.301388	0.26187828	-0.6230738	-2.6965199	-0.28230894	0.05769802	5302.169709444046
